Client name,Service Offerings,Service Lines,[Year-Month],[Service Offering ID],Country,Collection Days,Revenue,Gross Profit,Direct Profit,Total Cost,Total Cost GP,Total Cost DP,External Blue,External Green,External Red,External Yellow,External Pink,External Orange,External Black,Internal Blue,Internal green,Internal Red,Internal Yellow,Internal Orange,Internal White,Internal Brown,Internal Blue,Internal Pink,Internal Pink
ARBAU GmbH,Allure Kit,Jupiter,2023-Dec,SO00029,USA,30,,-148.7472,-148.7472,148.7472,148.7472,0,,,,,,,,,,,,,,148.7472,,,
ARBAU GmbH,Gymr Kit,Jupiter,2023-Dec,SO00030,USA,30,77810,77803.6454,77803.6454,6.3546,6.3546,0,,,,,,,,,,,,,,6.3546,,,
ARBAU GmbH,Gymr Kit,Jupiter,2023-Dec,SO00030,USA,30,37800,36862,18958.4,18841.6,938,17903.6,,,,,938,,17903.6,,,,,,,,,,
ARBAU GmbH,Gymr Kit,Jupiter,2023-Dec,SO00030,USA,30,24198.35,24198.35,24198.35,0,0,0,,,,,,,,,,,,,,,,,
ARBAU GmbH,Gymr Kit,Jupiter,2023-Dec,SO00030,USA,30,,0,-6318,6318,0,6318,,,,,,,6318,,,,,,,,,,
ARBAU GmbH,Gymr Kit,Jupiter,2023-Dec,SO00030,USA,30,,-2626.8249,-2626.8249,2626.8249,2626.8249,0,,,,,,,,,,,,,,2626.8249,,,
ARBAU GmbH,Gymr Kit,Jupiter,2023-Dec,SO00030,USA,30,,-24.211,-24.211,24.211,24.211,0,,,,,,,,,,,,,,24.211,,,
ARBAU GmbH,Gymr Kit,Jupiter,2023-Dec,SO00030,USA,30,,-5.6144,-5.6144,5.6144,5.6144,0,,,,,,,,,,,,,,5.6144,,,
ARBAU GmbH,Gymr Kit,Jupiter,2023-Dec,SO00030,USA,30,,-0.9078,-81.1578,81.1578,0.9078,80.25,,,,,,,80.25,,,,,,,0.9078,,,
ARBAU GmbH,Gymr Kit,Jupiter,2023-Dec,SO00030,USA,30,,-117.789,-1122.665,1122.665,117.789,1004.876,,,,,,,,,,1004.876,,0,,117.789,,,
ARBAU GmbH,Gymr Kit,Jupiter,2023-Dec,SO00030,USA,30,,-3297.8092,-3297.8092,3297.8092,3297.8092,0,,,,,3285.1,,,,,,,,,12.7092,,,
ARBAU GmbH,Scruncho,Venus,2023-Dec,SO00065,USA,30,150,150,70.6064,79.3936,0,79.3936,,,,,,,79.3936,,,,,,,,,,
